support,itemsets
0.0464,Fator:JULGAMENTO DE PILOTAGEM + Mes:DEZEMBRO
0.0514,Fator:JULGAMENTO DE PILOTAGEM + Mes:FEVEREIRO
0.0532,Fator:JULGAMENTO DE PILOTAGEM + Mes:JANEIRO
0.0419,Fator:JULGAMENTO DE PILOTAGEM + Mes:JULHO
0.0320,Fator:JULGAMENTO DE PILOTAGEM + Mes:JUNHO
0.0383,Fator:JULGAMENTO DE PILOTAGEM + Mes:MAIO
0.0477,Fator:JULGAMENTO DE PILOTAGEM + Mes:MARÇO
0.0464,Fator:JULGAMENTO DE PILOTAGEM + Mes:NOVEMBRO
0.0401,Fator:JULGAMENTO DE PILOTAGEM + Mes:OUTUBRO
0.0419,Fator:JULGAMENTO DE PILOTAGEM + Mes:SETEMBRO
0.0950,Fator:JULGAMENTO DE PILOTAGEM + Nivel_dano:DESTRUÍDA
0.0505,Fator:JULGAMENTO DE PILOTAGEM + Nivel_dano:LEVE
0.3568,Fator:JULGAMENTO DE PILOTAGEM + Nivel_dano:SUBSTANCIAL
0.0464,Fator:JULGAMENTO DE PILOTAGEM + Tipo:COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO
0.0779,Fator:JULGAMENTO DE PILOTAGEM + Tipo:EXCURSÃO DE PISTA
0.0658,Fator:JULGAMENTO DE PILOTAGEM + Tipo:FALHA DO MOTOR EM VOO
0.1068,Fator:JULGAMENTO DE PILOTAGEM + Tipo:PERDA DE CONTROLE EM VOO
0.0793,Fator:JULGAMENTO DE PILOTAGEM + Tipo:PERDA DE CONTROLE NO SOLO
0.0302,Fator:JULGAMENTO DE PILOTAGEM + UF:BA
0.0338,Fator:JULGAMENTO DE PILOTAGEM + UF:GO
0.0419,Fator:JULGAMENTO DE PILOTAGEM + UF:MG
0.0536,Fator:JULGAMENTO DE PILOTAGEM + UF:MT
0.0338,Fator:JULGAMENTO DE PILOTAGEM + UF:PA
0.0306,Fator:JULGAMENTO DE PILOTAGEM + UF:PR
0.0495,Fator:JULGAMENTO DE PILOTAGEM + UF:RS
0.1036,Fator:JULGAMENTO DE PILOTAGEM + UF:SP
0.0311,Fator:MANUTENÇÃO DA AERONAVE + Fator:PROCESSO DECISÓRIO
0.1099,Fator:MANUTENÇÃO DA AERONAVE + Fator:SUPERVISÃO GERENCIAL
0.0356,Fator:MANUTENÇÃO DA AERONAVE + Nivel_dano:DESTRUÍDA
0.0378,Fator:MANUTENÇÃO DA AERONAVE + Nivel_dano:LEVE
0.1500,Fator:MANUTENÇÃO DA AERONAVE + Nivel_dano:SUBSTANCIAL
0.1153,Fator:MANUTENÇÃO DA AERONAVE + Tipo:FALHA DO MOTOR EM VOO
0.0387,Fator:MANUTENÇÃO DA AERONAVE + UF:SP
0.0356,Fator:MOTIVAÇÃO + Fator:PROCESSO DECISÓRIO
0.0527,Fator:OUTRO FATOR + Nivel_dano:SUBSTANCIAL
0.0604,Fator:PERCEPÇÃO + Fator:PLANEJAMENTO DE VOO
0.0315,Fator:PERCEPÇÃO + Fator:POUCA EXPERIÊNCIA DO PILOTO
0.0784,Fator:PERCEPÇÃO + Fator:PROCESSO DECISÓRIO
0.0446,Fator:PERCEPÇÃO + Fator:SUPERVISÃO GERENCIAL
0.0311,Fator:PERCEPÇÃO + Nivel_dano:DESTRUÍDA
0.0950,Fator:PERCEPÇÃO + Nivel_dano:SUBSTANCIAL
0.0369,Fator:PERCEPÇÃO + Tipo:PERDA DE CONTROLE EM VOO
0.0324,Fator:PERCEPÇÃO + UF:SP
0.0505,Fator:PLANEJAMENTO DE VOO + Fator:POUCA EXPERIÊNCIA DO PILOTO
0.0905,Fator:PLANEJAMENTO DE VOO + Fator:PROCESSO DECISÓRIO
0.1099,Fator:PLANEJAMENTO DE VOO + Fator:SUPERVISÃO GERENCIAL
0.0306,Fator:PLANEJAMENTO DE VOO + Mes:FEVEREIRO
0.0559,Fator:PLANEJAMENTO DE VOO + Nivel_dano:DESTRUÍDA
0.1995,Fator:PLANEJAMENTO DE VOO + Nivel_dano:SUBSTANCIAL
0.0374,Fator:PLANEJAMENTO DE VOO + Tipo:COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO
0.0351,Fator:PLANEJAMENTO DE VOO + Tipo:EXCURSÃO DE PISTA
0.0572,Fator:PLANEJAMENTO DE VOO + Tipo:PERDA DE CONTROLE EM VOO
0.0311,Fator:PLANEJAMENTO DE VOO + Tipo:PERDA DE CONTROLE NO SOLO
0.0568,Fator:PLANEJAMENTO DE VOO + UF:SP
0.0387,Fator:PLANEJAMENTO GERENCIAL + Fator:SUPERVISÃO GERENCIAL
0.0347,Fator:PLANEJAMENTO GERENCIAL + Nivel_dano:SUBSTANCIAL
0.0446,Fator:POUCA EXPERIÊNCIA DO PILOTO + Fator:PROCESSO DECISÓRIO
0.0491,Fator:POUCA EXPERIÊNCIA DO PILOTO + Fator:SUPERVISÃO GERENCIAL
