antecedents,consequents,support,confidence,lift
UF:SP,Fator:JULGAMENTO DE PILOTAGEM,0.1036,0.5529,1.0599
Nivel_dano:SUBSTANCIAL,Fator:PLANEJAMENTO DE VOO,0.1995,0.3053,1.0557
Faixa_horaria:MANHÃ + Nivel_dano:SUBSTANCIAL,Fator:JULGAMENTO DE PILOTAGEM,0.0626,0.5494,1.0533
UF:SP,Fator:SUPERVISÃO GERENCIAL,0.0604,0.3221,1.0532
Faixa_horaria:TARDE,Fator:APLICAÇÃO DE COMANDOS,0.1802,0.3899,1.0529
Faixa_horaria:TARDE + UF:SP,Fator:JULGAMENTO DE PILOTAGEM,0.0523,0.5472,1.0490
UF:SP,Fator:PLANEJAMENTO DE VOO,0.0568,0.3029,1.0474
Nivel_dano:SUBSTANCIAL,Fator:JULGAMENTO DE PILOTAGEM,0.3568,0.5458,1.0464
UF:MG,Fator:JULGAMENTO DE PILOTAGEM,0.0419,0.5439,1.0426
UF:PA,Fator:JULGAMENTO DE PILOTAGEM,0.0338,0.5435,1.0419
Fase_operacao:CORRIDA APÓS POUSO + Nivel_dano:SUBSTANCIAL,Fator:JULGAMENTO DE PILOTAGEM,0.0369,0.5430,1.0411
Faixa_horaria:NOITE + Fase_operacao:DECOLAGEM,Fator:JULGAMENTO DE PILOTAGEM,0.0342,0.5429,1.0407
Faixa_horaria:TARDE + Nivel_dano:SUBSTANCIAL,Fator:PROCESSO DECISÓRIO,0.0721,0.2309,1.0397
Mes:JUNHO,Fator:JULGAMENTO DE PILOTAGEM,0.0320,0.5420,1.0390
Fase_operacao:MANOBRA + Nivel_dano:SUBSTANCIAL,Fator:JULGAMENTO DE PILOTAGEM,0.0320,0.5420,1.0390
Faixa_horaria:NOITE,Fator:ATITUDE,0.0869,0.2471,1.0371
Mes:MARÇO,Fator:JULGAMENTO DE PILOTAGEM,0.0477,0.5408,1.0368
Nivel_dano:SUBSTANCIAL,Fator:APLICAÇÃO DE COMANDOS,0.2495,0.3818,1.0312
Nivel_dano:SUBSTANCIAL + UF:SP,Fator:PLANEJAMENTO DE VOO,0.0392,0.2979,1.0303
Mes:OUTUBRO + Nivel_dano:SUBSTANCIAL,Fator:JULGAMENTO DE PILOTAGEM,0.0302,0.5360,1.0276
Nivel_dano:SUBSTANCIAL + Tipo:FALHA DO MOTOR EM VOO,Fator:SUPERVISÃO GERENCIAL,0.0419,0.3142,1.0272
Faixa_horaria:NOITE + Nivel_dano:SUBSTANCIAL,Fator:APLICAÇÃO DE COMANDOS,0.0851,0.3803,1.0270
UF:MT,Fator:APLICAÇÃO DE COMANDOS,0.0324,0.3789,1.0234
Mes:DEZEMBRO + Nivel_dano:SUBSTANCIAL,Fator:JULGAMENTO DE PILOTAGEM,0.0356,0.5338,1.0233
Faixa_horaria:NOITE + Nivel_dano:SUBSTANCIAL,Fator:JULGAMENTO DE PILOTAGEM,0.1189,0.5312,1.0183
Nivel_dano:LEVE,Fator:SUPERVISÃO GERENCIAL,0.0378,0.3111,1.0172
Fase_operacao:POUSO,Fator:PROCESSO DECISÓRIO,0.0410,0.2258,1.0168
Mes:OUTUBRO,Fator:JULGAMENTO DE PILOTAGEM,0.0401,0.5298,1.0156
Faixa_horaria:TARDE + Nivel_dano:SUBSTANCIAL,Fator:SUPERVISÃO GERENCIAL,0.0968,0.3102,1.0144
Mes:SETEMBRO,Fator:JULGAMENTO DE PILOTAGEM,0.0419,0.5284,1.0130
Mes:FEVEREIRO,Fator:JULGAMENTO DE PILOTAGEM,0.0514,0.5278,1.0118
Faixa_horaria:MANHÃ,Fator:JULGAMENTO DE PILOTAGEM,0.0901,0.5277,1.0117
Faixa_horaria:TARDE,Fator:JULGAMENTO DE PILOTAGEM,0.2437,0.5273,1.0109
Fase_operacao:DECOLAGEM,Fator:ATITUDE,0.0446,0.2409,1.0109
Faixa_horaria:TARDE,Fator:PROCESSO DECISÓRIO,0.1036,0.2242,1.0095
Nivel_dano:DESTRUÍDA,Fator:SUPERVISÃO GERENCIAL,0.0464,0.3084,1.0083
Mes:ABRIL,Fator:JULGAMENTO DE PILOTAGEM,0.0459,0.5258,1.0080
Faixa_horaria:TARDE + Nivel_dano:SUBSTANCIAL,Fator:PLANEJAMENTO DE VOO,0.0910,0.2915,1.0079
Mes:MAIO,Fator:JULGAMENTO DE PILOTAGEM,0.0383,0.5247,1.0059
Fase_operacao:DECOLAGEM,Fator:APLICAÇÃO DE COMANDOS,0.0689,0.3723,1.0054
Nivel_dano:SUBSTANCIAL,Fator:SUPERVISÃO GERENCIAL,0.2009,0.3074,1.0050
Faixa_horaria:NOITE,Fator:PROCESSO DECISÓRIO,0.0784,0.2228,1.0032
Fase_operacao:CRUZEIRO,Fator:PLANEJAMENTO DE VOO,0.0392,0.2900,1.0028
Faixa_horaria:NOITE,Fator:PLANEJAMENTO DE VOO,0.1018,0.2894,1.0006
Nivel_dano:LEVE,Fator:APLICAÇÃO DE COMANDOS,0.0450,0.3704,1.0003
